,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,surface_energy,field_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,complex_group_sampling_width
20,(0.7070272752387066+0j),(0.03366718639678009+0j),(0.11699347073177369+0j),(0.09875021874554411+0j),(0.4298984581955808+0j),(0.7406959605475933+0j),(0.27002589543515493+0j),(0.15210130036852115+0j),(0.4998875679314697+0j),(0.0011334794398755344+0j),(0.013687472193866386+0j),(0.00975160570229281+0j),(0.18481268435893752+0j),(0.548630505971522+0j),(0.07291398420555721+0j),(0.023134805573795096+0j),16.730467500449457,-5.204362217737395,-0.7070272752387066,0.45668113177215747,(0.031014876106436263-0.013097973124798486j),(0.1149931596228316+0.02154171380889544j),(-0.09616572132177949+0.022444592777652615j),(0.42836046533536415+0.03633175053046321j),(-0.26868855638043976-0.6902441348115297j),(0.1841851653459206-0.19745837301075156j),(0.13815472964450304+0.06362449410918226j),0.1670174123147848
21,(0.7070272752387066+0j),(0.024710279763894664+0j),(0.11784305059062984+0j),(0.10856450576863005+0j),(0.39665095769432257+0j),(0.7516505261904609+0j),(0.28855433245472606+0j),(0.16939109645132475+0j),(0.4998875679314697+0j),(0.0006105979260099422+0j),(0.013886984572505744+0j),(0.01178625191278691+0j),(0.15733198223982328+0j),(0.5649785135223967+0j),(0.08326360277839258+0j),(0.028693343556982+0j),16.730467500449457,-5.150250138713062,-0.7070272752387066,0.43957684816987097,(0.024407877941801978-0.0038540135427938805j),(0.10284238042578218+0.057536330790765915j),(-0.10598261550501384+0.023535868870796117j),(0.3819784127511719+0.10688533310009679j),(-0.23893366631572188-0.7126634665978915j),(0.15762121182943323-0.24170055101263943j),(0.11919491796644706+0.12035744716449397j),0.16911810323878623
22,(0.7070272752387066+0j),(0.024710279763894664+0j),(0.11784305059062984+0j),(0.10856450576863005+0j),(0.39665095769432257+0j),(0.7516505261904609+0j),(0.28855433245472606+0j),(0.16939109645132475+0j),(0.4998875679314697+0j),(0.0006105979260099422+0j),(0.013886984572505744+0j),(0.01178625191278691+0j),(0.15733198223982328+0j),(0.5649785135223967+0j),(0.08326360277839258+0j),(0.028693343556982+0j),16.730467500449457,-5.150250138713062,-0.7070272752387066,0.4231131789858158,(0.024407877941801978-0.0038540135427938805j),(0.10284238042578218+0.057536330790765915j),(-0.10598261550501384+0.023535868870796117j),(0.3819784127511719+0.10688533310009679j),(-0.23893366631572188-0.7126634665978915j),(0.15762121182943323-0.24170055101263943j),(0.11919491796644706+0.12035744716449397j),0.16278404693816348
23,(0.7070272752387066+0j),(0.045668788155760094+0j),(0.11336878579178646+0j),(0.08765320415036286+0j),(0.389277366231843+0j),(0.7167739070788424+0j),(0.29820280542336924+0j),(0.15145357945226046+0j),(0.4998875679314697+0j),(0.0020856382116156936+0j),(0.012852481591903962+0j),(0.007683084197825189+0j),(0.15153686786040044+0j),(0.513764833869069+0j),(0.08892491316236782+0j),(0.022938186728902167+0j),16.730467500449457,-5.15422018267707,-0.7070272752387066,0.4072661310003758,(0.016360697820569082-0.042637609905337326j),(0.10249209575853473+0.0484546375378798j),(-0.08765149759752543-0.0005469613662619083j),(0.37620547944935373+0.10003152049570341j),(-0.2290976492228182-0.6791753094670385j),(0.1572409964246234-0.2533775487405295j),(0.09225936777990253+0.12010993208621364j),0.1586847656609996
24,(0.7070272752387066+0j),(0.0618164047112742+0j),(0.094326513428315+0j),(0.0679199260733759+0j),(0.4319557013641639+0j),(0.7417468338379359+0j),(0.31678590302467785+0j),(0.11635135804865006+0j),(0.4998875679314697+0j),(0.003821267891428043+0j),(0.008897491135542088+0j),(0.0046131163578128475+0j),(0.18658572794100672+0j),(0.5501883655086025+0j),(0.10035330835516058+0j),(0.013537638519765163+0j),16.730467500449457,-5.249707029615605,-0.7070272752387066,0.3920126096227687,(0.020901650013538352-0.05817550101322373j),(0.09385094475999536+0.009459984312798195j),(-0.06781981268392061+0.0036863756361457597j),(0.4206672445619181+0.09810605125928827j),(-0.1985523940876642-0.7146784677816027j),(0.16288148382886453-0.27170375518359685j),(0.07263283146848318+0.09089615125315309j),0.1546887138298741
25,(0.7070272752387066+0j),(0.0618164047112742+0j),(0.094326513428315+0j),(0.0679199260733759+0j),(0.4319557013641639+0j),(0.7417468338379359+0j),(0.31678590302467785+0j),(0.11635135804865006+0j),(0.4998875679314697+0j),(0.003821267891428043+0j),(0.008897491135542088+0j),(0.0046131163578128475+0j),(0.18658572794100672+0j),(0.5501883655086025+0j),(0.10035330835516058+0j),(0.013537638519765163+0j),16.730467500449457,-5.249707029615605,-0.7070272752387066,0.3773303852342964,(0.020901650013538352-0.05817550101322373j),(0.09385094475999536+0.009459984312798195j),(-0.06781981268392061+0.0036863756361457597j),(0.4206672445619181+0.09810605125928827j),(-0.1985523940876642-0.7146784677816027j),(0.16288148382886453-0.27170375518359685j),(0.07263283146848318+0.09089615125315309j),0.14889508793350326
26,(0.7070272752387066+0j),(0.0618164047112742+0j),(0.094326513428315+0j),(0.0679199260733759+0j),(0.4319557013641639+0j),(0.7417468338379359+0j),(0.31678590302467785+0j),(0.11635135804865006+0j),(0.4998875679314697+0j),(0.003821267891428043+0j),(0.008897491135542088+0j),(0.0046131163578128475+0j),(0.18658572794100672+0j),(0.5501883655086025+0j),(0.10035330835516058+0j),(0.013537638519765163+0j),16.730467500449457,-5.249707029615605,-0.7070272752387066,0.36319806079215716,(0.020901650013538352-0.05817550101322373j),(0.09385094475999536+0.009459984312798195j),(-0.06781981268392061+0.0036863756361457597j),(0.4206672445619181+0.09810605125928827j),(-0.1985523940876642-0.7146784677816027j),(0.16288148382886453-0.27170375518359685j),(0.07263283146848318+0.09089615125315309j),0.1433184533107428
27,(0.7070272752387066+0j),(0.0618164047112742+0j),(0.094326513428315+0j),(0.0679199260733759+0j),(0.4319557013641639+0j),(0.7417468338379359+0j),(0.31678590302467785+0j),(0.11635135804865006+0j),(0.4998875679314697+0j),(0.003821267891428043+0j),(0.008897491135542088+0j),(0.0046131163578128475+0j),(0.18658572794100672+0j),(0.5501883655086025+0j),(0.10035330835516058+0j),(0.013537638519765163+0j),16.730467500449457,-5.249707029615605,-0.7070272752387066,0.34959504064660646,(0.020901650013538352-0.05817550101322373j),(0.09385094475999536+0.009459984312798195j),(-0.06781981268392061+0.0036863756361457597j),(0.4206672445619181+0.09810605125928827j),(-0.1985523940876642-0.7146784677816027j),(0.16288148382886453-0.27170375518359685j),(0.07263283146848318+0.09089615125315309j),0.13795068288993417
28,(0.7070272752387066+0j),(0.0618164047112742+0j),(0.094326513428315+0j),(0.0679199260733759+0j),(0.4319557013641639+0j),(0.7417468338379359+0j),(0.31678590302467785+0j),(0.11635135804865006+0j),(0.4998875679314697+0j),(0.003821267891428043+0j),(0.008897491135542088+0j),(0.0046131163578128475+0j),(0.18658572794100672+0j),(0.5501883655086025+0j),(0.10035330835516058+0j),(0.013537638519765163+0j),16.730467500449457,-5.249707029615605,-0.7070272752387066,0.3365015005260225,(0.020901650013538352-0.05817550101322373j),(0.09385094475999536+0.009459984312798195j),(-0.06781981268392061+0.0036863756361457597j),(0.4206672445619181+0.09810605125928827j),(-0.1985523940876642-0.7146784677816027j),(0.16288148382886453-0.27170375518359685j),(0.07263283146848318+0.09089615125315309j),0.13278395398628476
29,(0.7070272752387066+0j),(0.060623415674617764+0j),(0.09436924124221228+0j),(0.06726750114742204+0j),(0.4310417755049638+0j),(0.7439740367978933+0j),(0.30889898415460876+0j),(0.13788436173577687+0j),(0.4998875679314697+0j),(0.0036751985280574907+0j),(0.008905553692630859+0j),(0.004524916710618425+0j),(0.1857970122304716+0j),(0.553497367429353+0j),(0.09541858241174922+0j),(0.019012097211282566+0j),16.730467500449457,-5.031306591925132,-0.7070272752387066,0.32389835864613514,(0.026001688199773918-0.05476413734205286j),(0.09388850313516985+0.009513289213939702j),(-0.06635749240252393+0.011027235041813648j),(0.4196324926253027+0.09851691917405275j),(-0.19778289425978984-0.7172024080882424j),(0.17783768515185105-0.25257145553601323j),(0.09354562672737098+0.10129813883515307j),0.12944014489244562
30,(0.7070272752387066+0j),(0.04613941882497439+0j),(0.08498241330016278+0j),(0.029659331054983792+0j),(0.4295587774267709+0j),(0.7165147330151609+0j),(0.30268760794589233+0j),(0.1405034289603503+0j),(0.4998875679314697+0j),(0.0021288459695064012+0j),(0.007222010570319683+0j),(0.0008796759186291259+0j),(0.18452074326438211+0j),(0.5133933626277872+0j),(0.09161978800400622+0j),(0.019741213549616204+0j),16.730467500449457,-5.156139358631341,-0.7070272752387066,0.3117672479013133,(0.01951290877113797-0.04181019446015108j),(0.08333015738714933+0.016676193814914878j),(-0.029056994733377233+0.005947014014916539j),(0.4115011543392432+0.1232377508795598j),(-0.16996340462223514-0.6960645111747945j),(0.17717561244757532-0.2454151388114287j),(0.10536143967006194+0.0929525716710845j),0.12778916596744916
31,(0.7070272752387066+0j),(0.04672667881874936+0j),(0.08801328283309978+0j),(0.030378399928025452+0j),(0.4231727226499832+0j),(0.694381221231371+0j),(0.29806378450127097+0j),(0.11970859739346011+0j),(0.4998875679314697+0j),(0.0021833825134305604+0j),(0.007746337955059217+0j),(0.0009228471821870566+0j),(0.1790751531949996+0j),(0.48216528039877027+0j),(0.08884201963122008+0j),(0.014330148289909528+0j),16.730467500449457,-4.997678138787081,-0.7070272752387066,0.3000904890973851,(0.018481043335128438-0.04291658829258991j),(0.08612675053081427+0.018125142704599626j),(-0.028954898078492674-0.009190269824719944j),(0.4080932886033131+0.11195990796679214j),(-0.15926021305221744-0.6758708936900099j),(0.1888180129109379-0.2306290910349017j),(0.0907662187020655+0.0780489707327287j),0.12615924489442784
32,(0.7070272752387066+0j),(0.05018708724107004+0j),(0.09338619054456894+0j),(0.017253190776883132+0j),(0.4188865457877604+0j),(0.703869039566686+0j),(0.2970792492326059+0j),(0.14437108414445612+0j),(0.4998875679314697+0j),(0.002518743725742775+0j),(0.008720980584426536+0j),(0.00029767259198352515+0j),(0.17546593824200155+0j),(0.49543162486052894+0j),(0.0882560803246088+0j),(0.020843009937045635+0j),16.730467500449457,-5.230473464294545,-0.7070272752387066,0.2888510651869807,(0.03124074431479964-0.03927797882274607j),(0.09332560027554959-0.0033634680963068805j),(-0.012528729431771074-0.011861851913128845j),(0.40155479356170193+0.11924632493129704j),(-0.1777522379009389-0.6810548926347545j),(0.1915615899362213-0.2270687948303681j),(0.11788621009218615+0.08334177468200794j),0.12455011308538019
